epoch,step,test_loss,test_mean_squared_error,train_loss,train_mean_squared_error,valid_loss,valid_mean_squared_error
0,36,,,,,3.294872522354126,3.294872522354126
0,36,,,,8.167635917663574,,
1,49,,,3.5454769134521484,,,
1,73,,,,,3.238175868988037,3.238175868988037
1,73,,,,3.3251798152923584,,
2,99,,,2.9616541862487793,,,
2,110,,,,,3.250389575958252,3.250389575958252
2,110,,,,3.3154242038726807,,
3,147,,,,,3.2527151107788086,3.2527151107788086
3,147,,,,3.3104116916656494,,
4,149,,,2.879767656326294,,,
4,184,,,,,3.2008230686187744,3.2008230686187744
4,184,,,,3.2884879112243652,,
5,199,,,3.2431159019470215,,,
5,221,,,,,2.7635185718536377,2.7635185718536377
5,221,,,,3.099660634994507,,
6,249,,,2.5749385356903076,,,
6,258,,,,,2.9427168369293213,2.9427168369293213
6,258,,,,2.439317226409912,,
7,295,,,,,2.4817676544189453,2.4817676544189453
7,295,,,,1.9613478183746338,,
8,299,,,1.5862489938735962,,,
8,332,,,,,2.2405383586883545,2.2405383586883545
8,332,,,,1.7485102415084839,,
9,349,,,1.0226742029190063,,,
9,369,,,,,2.1486563682556152,2.1486563682556152
9,369,,,,1.6484113931655884,,
10,399,,,1.4776653051376343,,,
10,406,,,,,2.1245598793029785,2.1245598793029785
10,406,,,,1.566616415977478,,
11,443,,,,,1.9422460794448853,1.9422460794448853
11,443,,,,1.5991029739379883,,
12,449,,,1.6036248207092285,,,
12,480,,,,,1.7675505876541138,1.7675505876541138
12,480,,,,1.7345415353775024,,
13,499,,,1.1709377765655518,,,
13,517,,,,,1.9416784048080444,1.9416784048080444
13,517,,,,1.5869042873382568,,
14,549,,,1.3552699089050293,,,
14,554,,,,,1.8360180854797363,1.8360180854797363
14,554,,,,1.4999675750732422,,
15,591,,,,,1.9182298183441162,1.9182298183441162
15,591,,,,1.5046195983886719,,
16,599,,,1.3687341213226318,,,
16,628,,,,,2.338555097579956,2.338555097579956
16,628,,,,1.4912928342819214,,
17,649,,,1.2527872323989868,,,
17,665,,,,,2.218503952026367,2.218503952026367
17,665,,,,1.491760492324829,,
18,699,,,1.463018774986267,,,
18,702,,,,,2.2581303119659424,2.2581303119659424
18,702,,,,1.4634374380111694,,
19,739,,,,,2.4770474433898926,2.4770474433898926
19,739,,,,1.4794046878814697,,
20,749,,,1.4067132472991943,,,
20,776,,,,,1.7697827816009521,1.7697827816009521
20,776,,,,1.5084083080291748,,
21,799,,,1.692542552947998,,,
21,813,,,,,1.9396518468856812,1.9396518468856812
21,813,,,,1.4518520832061768,,
22,849,,,1.4622101783752441,,,
22,850,,,,,1.9321811199188232,1.9321811199188232
22,850,,,,1.4567973613739014,,
23,851,1.7675505876541138,1.7675505876541138,,,,
